github.name,github.score,github.size,github.forks,github.open_issues,github.watchers,github.stars
cocaine/cocaine-core,1,13864,95,5,1011,1011
SFML/SFML,1,87662,1046,108,5167,5167
TNG/boost-python-examples,1,121,167,2,564,564
mariusmuja/flann,1,82480,374,217,1134,1134
kylemcdonald/ofxCv,1,3447,251,56,541,541
shogun-toolbox/shogun,1,67018,930,590,2464,2464
davisp/jiffy,1,2647,243,16,728,728
LibreCAD/LibreCAD,1,94538,499,243,1300,1300
bulletphysics/bullet3,1,212251,1349,363,5013,5013
apitrace/apitrace,1,19385,326,96,1677,1677
tekezo/Karabiner,1,21555,336,105,3723,3723
moxie0/sslsniff,1,609,109,27,422,422
kliment/Sprinter,1,1467,330,9,408,408
qgis/QGIS,1,1544343,1501,3084,2714,2714
csmith-project/csmith,1,9119,75,15,445,445
mozilla/rhino,1,20255,528,152,2185,2185
aras-p/hlsl2glslfork,1,7043,125,31,436,436
wxWidgets/wxWidgets,1,315789,923,38,2479,2479
vlc-qt/vlc-qt,1,3224,211,80,438,438
zeromq/cppzmq,1,444,429,30,609,609
kripken/ammo.js,1,38313,250,99,1819,1819
HIT-SCIR/ltp,1,15370,667,57,2054,2054
louisdx/cxx-prettyprint,1,57,59,11,408,408
goldendict/goldendict,1,63095,417,438,2551,2551
libspatialindex/libspatialindex,1,3681,146,14,444,444
kylemcdonald/ofxFaceTracker,1,1105,358,58,1199,1199
kylemcdonald/ofxFaceTracker,1,1105,358,58,1199,1199
adafruit/DHT-sensor-library,1,83,970,8,1167,1167
adafruit/DHT-sensor-library,1,83,970,8,1167,1167
ispc/ispc,1,35817,175,270,1254,1254
RuntimeCompiledCPlusPlus/RuntimeCompiledCPlusPlus,1,40768,155,8,1270,1270
justinlatimer/node-midi,1,796,84,31,557,557
myang-git/QR-Code-Encoder-for-Objective-C,1,635,126,8,406,406
rocketscream/Low-Power,1,45,265,28,890,890
BYVoid/uchardet,1,564,83,2,412,412
Andersbakken/rtags,1,24245,234,148,1480,1480
jrowberg/i2cdevlib,1,1177,5687,228,2395,2395
jrowberg/i2cdevlib,1,1177,5687,228,2395,2395
tjanczuk/iisnode,1,8741,452,243,1698,1698
tjanczuk/iisnode,1,8741,452,243,1698,1698
kripken/speak.js,1,5362,250,49,946,946
minetest/minetest,1,65053,1021,971,3981,3981
mozilla/rr,1,19177,312,271,4095,4095
jeelabs/jeelib,1,2831,198,15,456,456
slic3r/Slic3r,1,17346,978,936,2169,2169
ceph/ceph,1,362520,3152,563,6222,6222
Subsurface-divelog/subsurface,1,105589,384,125,1551,1551
zaphoyd/websocketpp,1,8880,1074,281,3110,3110
zaphoyd/websocketpp,1,8880,1074,281,3110,3110
paulftw/hiberlite,1,468,94,11,491,491
plotfx/plotfx,1,23565,397,99,4913,4913
zrax/pycdc,1,421,140,95,616,616
Project-OSRM/osrm-backend,1,30026,1668,635,3085,3085
kkaefer/node-cpp-modules,1,104,137,5,672,672
rakshasa/rtorrent,1,4963,311,356,2485,2485
rakshasa/rtorrent,1,4963,311,356,2485,2485
mcostalba/Stockfish,1,12943,1178,1,1259,1259
RobTillaart/Arduino,1,965,2935,6,913,913
arturoc/FaceSubstitution,1,570,123,20,426,426
mapnik/mapnik,1,174118,667,584,2383,2383
gameplay3d/GamePlay,1,213922,1100,5,2733,2733
mavlink/qgroundcontrol,1,347259,1564,699,1166,1166
arangodb/arangodb,1,933082,571,536,8105,8105
mawww/kakoune,1,37088,351,408,4775,4775
ripple/rippled,1,95744,966,142,3240,3240
TooTallNate/node-lame,1,3399,83,36,490,490
webcoyote/coho,1,174,69,2,409,409
TTimo/doom3.gpl,1,9178,1424,3,3917,3917
TTimo/doom3.gpl,1,9178,1424,3,3917,3917
Maximus5/ConEmu,1,89939,412,698,6024,6024
strasdat/Sophus,1,7352,280,11,616,616
cnjinhao/nana,1,6105,213,39,1253,1253
cnjinhao/nana,1,6105,213,39,1253,1253
stealth/sshttp,1,99,76,2,705,705
br3ttb/Arduino-PID-Library,1,18,563,48,961,961
fabiensanglard/Another-World-Bytecode-Interpreter,1,384,58,9,542,542
gnuradio/gnuradio,1,51430,1001,338,1651,1651
twitter-forks/mysql,1,1377295,441,8,1671,1671
nwjs/nw.js,1,124160,3797,741,35517,35517
takmin/OpenCV-Marker-less-AR,1,5869,239,2,470,470
juj/RectangleBinPack,1,292,113,6,454,454
RainerKuemmerle/g2o,1,7155,672,115,1155,1155
RainerKuemmerle/g2o,1,7155,672,115,1155,1155
peterbraden/node-opencv,1,10266,736,121,3759,3759
firmata/arduino,1,1144,407,70,969,969
joeferner/node-java,1,17356,210,155,1480,1480
basho/leveldb,1,5337,169,32,401,401
llvm-mirror/clang,1,194983,1402,1,2407,2407
sass/libsass,1,12024,429,115,3998,3998
raspberrypi/tools,1,621835,634,33,1210,1210
d5/node.native,1,9387,142,18,1143,1143
d5/node.native,1,9387,142,18,1143,1143
qbittorrent/qBittorrent,1,172278,1096,2574,6395,6395
dermesser/libsocket,1,3200,145,16,418,418
lloyd/node-memwatch,1,433,220,55,2027,2027
lloyd/node-memwatch,1,433,220,55,2027,2027
NixOS/nix,1,22405,433,1151,2476,2476
kasbert/OS-X-SAT-SMART-Driver,1,4550,44,32,400,400
melpon/wandbox,1,1719,54,45,618,618
rescrv/HyperDex,1,18356,159,38,1334,1334
arturadib/node-qt,1,16625,175,25,1430,1430
imkira/mobiledevice,1,66,112,8,516,516
notepadqq/notepadqq,1,9323,225,161,1192,1192
notepadqq/notepadqq,1,9323,225,161,1192,1192
leethomason/tinyxml2,1,2699,1086,61,2651,2651
leethomason/tinyxml2,1,2699,1086,61,2651,2651
csmith-project/creduce,1,5085,79,29,682,682
Azure/node-sqlserver,1,849,138,76,635,635
thrust/thrust,1,12249,448,207,2362,2362
ragnraok/android-image-filter,1,5647,164,13,592,592
